代码,名称,日期,收盘价(元)
000188.SH,中国波指,2015/02/10,28.75
000188.SH,中国波指,2015/02/11,26.44
000188.SH,中国波指,2015/02/12,25.8
000188.SH,中国波指,2015/02/13,23.41
000188.SH,中国波指,2015/02/16,23.71
000188.SH,中国波指,2015/02/17,24.3
000188.SH,中国波指,2015/02/25,26.33
000188.SH,中国波指,2015/02/26,26.1
000188.SH,中国波指,2015/02/27,27.04
000188.SH,中国波指,2015/03/02,28.05
000188.SH,中国波指,2015/03/03,28.45
000188.SH,中国波指,2015/03/04,27.68
000188.SH,中国波指,2015/03/05,26.67
000188.SH,中国波指,2015/03/06,26.47
000188.SH,中国波指,2015/03/09,27.22
000188.SH,中国波指,2015/03/10,26.22
000188.SH,中国波指,2015/03/11,25.86
000188.SH,中国波指,2015/03/12,25.93
000188.SH,中国波指,2015/03/13,25.01
000188.SH,中国波指,2015/03/16,25.14
000188.SH,中国波指,2015/03/17,25.25
000188.SH,中国波指,2015/03/18,25.14
000188.SH,中国波指,2015/03/19,27.3
000188.SH,中国波指,2015/03/20,26.47
000188.SH,中国波指,2015/03/23,28.76
000188.SH,中国波指,2015/03/24,30.67
000188.SH,中国波指,2015/03/25,30.16
000188.SH,中国波指,2015/03/26,29.06
000188.SH,中国波指,2015/03/27,29.28
000188.SH,中国波指,2015/03/30,27.87
000188.SH,中国波指,2015/03/31,30.09
000188.SH,中国波指,2015/04/01,30.36
000188.SH,中国波指,2015/04/02,31.77
000188.SH,中国波指,2015/04/03,31.17
000188.SH,中国波指,2015/04/07,29.51
000188.SH,中国波指,2015/04/08,31.98
000188.SH,中国波指,2015/04/09,35.06
000188.SH,中国波指,2015/04/10,33.41
000188.SH,中国波指,2015/04/13,36.86
000188.SH,中国波指,2015/04/14,40.15
000188.SH,中国波指,2015/04/15,40.13
000188.SH,中国波指,2015/04/16,37.36
000188.SH,中国波指,2015/04/17,41.57
000188.SH,中国波指,2015/04/20,47.75
000188.SH,中国波指,2015/04/21,46.9
000188.SH,中国波指,2015/04/22,44.28
000188.SH,中国波指,2015/04/23,44.72
000188.SH,中国波指,2015/04/24,45.65
000188.SH,中国波指,2015/04/27,44.88
000188.SH,中国波指,2015/04/28,46.59
000188.SH,中国波指,2015/04/29,46.61
000188.SH,中国波指,2015/04/30,46.55
000188.SH,中国波指,2015/05/04,46.13
000188.SH,中国波指,2015/05/05,45.46
000188.SH,中国波指,2015/05/06,45.55
000188.SH,中国波指,2015/05/07,46.78
000188.SH,中国波指,2015/05/08,44.97
000188.SH,中国波指,2015/05/11,45.78
000188.SH,中国波指,2015/05/12,45.97
000188.SH,中国波指,2015/05/13,46.03
000188.SH,中国波指,2015/05/14,44.96
000188.SH,中国波指,2015/05/15,41.44
000188.SH,中国波指,2015/05/18,37.48
000188.SH,中国波指,2015/05/19,37.28
000188.SH,中国波指,2015/05/20,41.52
000188.SH,中国波指,2015/05/21,42.05
000188.SH,中国波指,2015/05/22,43.01
000188.SH,中国波指,2015/05/25,45.8
000188.SH,中国波指,2015/05/26,45.81
000188.SH,中国波指,2015/05/27,46.91
000188.SH,中国波指,2015/05/28,46.63
000188.SH,中国波指,2015/05/29,47.29
000188.SH,中国波指,2015/06/01,47.22
000188.SH,中国波指,2015/06/02,47.61
000188.SH,中国波指,2015/06/03,47.9
000188.SH,中国波指,2015/06/04,46.57
000188.SH,中国波指,2015/06/05,46.6
000188.SH,中国波指,2015/06/08,43.66
000188.SH,中国波指,2015/06/09,47.55
000188.SH,中国波指,2015/06/10,48.07
